# EU biocidal active substances from the BAT census report
# (`REPORT_bat_census.md`, a user-supplied document from a SEPARATE project; it is
#  NOT in this repository, so every value below is transcribed with the section it
#  came from and this file is the only copy of it here)
# -> validation/bat_census_biocides.py
#
# WHAT THIS FILE IS. The substances the BAT report ran, transcribed with the
# properties THAT REPORT STATES, so they can be put through this repo's NEUTRAL
# organic path (`src/neutral_dpu.py` / `model_api.simulate_neutral`).
#
# WHAT IT IS NOT: an observation table. Every `bat_A_fish` / `bat_B_fish` /
# `bpc_class` column is a FISH bioconcentration endpoint or a REGULATORY class.
# Nothing here is a measured plant concentration, so this file can never be
# scored through the `--obs` harness the neutral tables use, and it carries no
# `tissue`/`value`/`endpoint` columns on purpose. Two substances do have measured
# plant data IN THIS REPO -- propiconazole (Liu 2023 rice root RCF) and triclosan
# (Li 2019 soil table, radish/carrot root) -- and those live in their own files.
#
# EVERY VALUE IS THE REPORT'S, and `section` says where. The one exception is
# marked `pka_basis=derived`: the report's section 8.9 tabulates the percent
# ionised at pH 7 for the anticoagulants rather than their pKa, so pKa is
# recovered as  pKa = pH - log10(a/(1-a)).  That inversion is not assumed -- it
# round-trips exactly on the six substances whose pKa the report DOES state
# (triflumuron 10.126 -> 99.93% neutral; DCPP 8.065 -> 7.9% ionised;
# chlorophacinone 8.0 -> 9%; also tralopyril, triclosan, benzoic acid), which is
# what pins pH 7 as the report's basis, and
# validation/bat_census_biocides.py re-checks it before using any derived value.
#
# LOG KOW IS THE UNCHARGED-FORM VALUE, which is what this model's Briggs QSPRs
# want and what the report's section 7.5 audit was about: three anticoagulants had
# been entered with a distribution ratio D at environmental pH instead, which is
# a different quantity and always the smaller. The audited values are used here.
#
# `km_half_life_d` is a FISH whole-body biotransformation half-life (report
# section 7.2, Arnot & Gobas 2008 compilation or the report's random-forest QSAR).
# It is NOT an in-planta dissipation half-life and must never be passed to
# `simulate_neutral(half_life=)` without saying so -- the run script does exactly
# that, once, clearly labelled as a transplanted rate rather than a plant
# parameter. `tanimoto` is that prediction's similarity to the nearest training
# structure (report section 7.3); below 0.40 the report's own applicability rule
# answers "no".
#
# `status`:
#   run                 -- the report states a log Kow, so the model can run it
#   no_logkow_in_report -- named in the report, but no log Kow anywhere. Only two
#                          remain, and both are unrunnable for a structural reason
#                          rather than a missing number (see below).
#
# UPDATE 2026-09-06. Twenty rows carried `no_logkow_in_report` because the REPORT
# does not print a log Kow for them. They were never filled in from elsewhere --
# inventing an input is the defect that report's own section 8.14 is about. Asked
# for instead, the BAT project supplied its own collection sheet
# (EXPORT_logkow_full_20260906.csv, 167 substances), and 18 of the 20 are now
# entered from it with the CAS, the source string and the SOURCE RANK in `note`
# (rank 1 = assessment/CLH report, 2 = cited literature, 3 = model prediction).
# Every stated pKa/percent-ionised pair in that export round-trips at pH 7 to
# better than 0.005 percentage points, i.e. on the same basis this file already
# used. The two that stay unrunnable were deliberately NOT requested: the
# triamine carries three charges (this model takes one valence, as BAT does), and
# creosote has no single defined structure.
#   repo_logkow         -- one substance: the report names it but states no log Kow,
#                          and this repo already carries a measured plant row for it
#                          under a cited log Kow. Flagged so it is never counted as
#                          a report-sourced input.
#
substance,status,log_kow,pKa,pka_basis,is_acid,pct_ionised_pH7,MW,water_sol_mgL,henry_Pa_m3_mol,km_half_life_d,km_kind,tanimoto,bpc_class,bat_A_fish,bat_B_fish,measured_fish_bcf,section,note
Permethrin,run,4.6,,,,,391,,,2.360399,measured,1.000,nB,3830,796,570;2800,7.9;8.12;8.15,"wood-preservative AR p.53, pH 4/7/9 23C; the same report also gives 6.1 at 20C and declines to choose"
Permethrin (alt log Kow),run,6.1,,,,,391,,,2.360399,measured,1.000,nB,,,570;2800,7.9,the second measured value in the same assessment report; run as the report ran both
(13Z)-Hexadec-13-en-11-yn-1-yl acetate,run,3.74,,,,,,,,,predicted,,nB,557,,,7.9,"assessment report p.27, standard shake-flask"
Empenthrin,run,6.30,,,,,274.4,0.111,34.65,,predicted,,nB,42400,811,,7.9;8.11,assessment report p.39 (20C); the most volatile substance in the set
Epsilon-metofluthrin,run,5.0,,,,,376.4,,,,predicted,,nB,8770,2310,,7.9;8.11,"classification report p.14, both isomers"
Tralopyril,run,4.08,7.08,stated,TRUE,45.41,,,,,predicted,,nB,748,,,7.9,uncharged-form value fitted to the measured pH series (4.4/3.5/2.4 at pH 4/7/9); pH-4 point reads 4.40 directly
Difethialone,run,6.29,,,,,539.5,0.3906,0.101,1.47,predicted,0.226,vB,42300,516,,7.5;8.11;8.16,"renewal AR: not ionisable, pH effect need not be assessed"
Cyphenothrin,run,6.29,,,,,375.5,0.01,0.0022,,predicted,0.852,nB,42300,986,894.9;618,8.11;8.12;8.13,"entered 6.29 from a compilation; the PT18 AR p34 gives 5.79-6.09 MEASURED and their provenance records it as superseding 6.29. They declined to pick one (that is the §8.14 rule), so both ends are run and neither is called canonical"
"Cyphenothrin (AR measured, lower end)",run,5.79,,,,,375.5,0.01,0.0022,,predicted,0.852,nB,,,894.9;618,8.11;8.12;8.13,the lower endpoint of the assessment report's MEASURED range 5.79-6.09 (PT18 AR p34). Run to bound the effect; the upper end 6.09 lands in the same scope class
Cyfluthrin,run,5.95,,,,,434.3,,,,predicted,,nB,35700,3780,,8.11,
Cholecalciferol,run,10.24,,,,,384.6,,,,,,nB,72,,,8.11,far outside every QSPR anchor in either model
Cis-tricos-9-ene (muscalure),run,10.607,,,,,322.6,,,,,,nB,31,,,8.11,far outside every QSPR anchor in either model
Brodifacoum,run,6.67,4.4784,derived,TRUE,99.7,,0.0038,,1.70,predicted,0.231,B,30800,661,,7.5;8.9;8.16a,audited from a calculated 8.5; the lowest water solubility in the set
Difenacoum,run,7.22,4.8481,derived,TRUE,99.3,,,,1.89,predicted,0.245,B,50100,722,,7.5;8.9;8.16,"audited: the 6.11 entered before was a distribution ratio D, not log Kow"
Bromadiolone,run,6.31,4.4784,derived,TRUE,99.7,,,,1.88,predicted,0.255,B,18100,683,,7.5;8.9;8.16,"graded UPPER BOUND by the report: one usable point, the pH series unfittable"
Flocoumafen,run,8.13,4.9582,derived,TRUE,99.1,,,,12.10,predicted,0.188,vB,45000,2650,,7.5;8.9;8.16,graded conditional: two measurements against two fitted parameters
Triclosan,run,4.76,7.9,stated,TRUE,11.18,,,,5.73,predicted,0.750,vB,4900,1630,,7.8;8.16,pKa 7.9 from two curated toxicology databases; the 8.2305 it replaced was a midpoint of two predictions
Hexaflumuron,run,5.68,,,,,,,,19.20,predicted,0.277,vB,27000,6070,,8.16,
Triflumuron,run,4.91,10.126,stated,TRUE,0.075,359,,,,predicted,,nB,7320,2190,,8.15,99.93% neutral at pH 7
