# Briggs, Bromilow, Evans & Williams (1983), Pestic. Sci. 14:492-500,
# "Relationships Between Lipophilicity and the Distribution of Non-ionised
# Chemicals in Barley Shoots Following Uptake by the Roots"
# doi:10.1002/ps.2780140506  -- READ AT SOURCE, Table 1 + section 2.2.
#
# The SHOOT companion to Briggs 1982, which is where this repo's whole neutral
# path comes from. 1982 anchored the ROOT; this anchors the STEM, and until now
# only its fitted equations were in the repo (neutral_dpu.briggs_scf, docs 4j) --
# the underlying per-section table was never transcribed.
#
# WHAT IT IS. 16 non-ionised chemicals (7 O-methylcarbamoyloximes, 9 substituted
# phenylureas), log Kow -0.57 to 3.7, taken up by 11-day-old barley from a
# STIRRED NUTRIENT SOLUTION of known concentration, harvested at 24 and 48 h and
# cut into three sections: leaf blade ("Upper"), central stem ("Middle") and stem
# base ("Base"). So the exposure is known exactly -- the cleanest kind there is,
# the same footing as Liu 2023 and Li 2019's hydroponic half, and unlike every
# soil-grown table it carries no sorption model.
#
# HOW value WAS COMPUTED, from four published quantities and nothing else:
#     pct            Table 1, % of shoot burden in that section
#     total_dpm      Table 1, total chemical in shoots (six plants combined)
#     solution_dpm_ml Table 1, initial solution concentration
#     section_g      section 2.2, typical fresh weight of that section
#                      (bases 0.54 g, central 0.40 g, tops 1.2 g, six plants)
#     value = (total_dpm * pct/100) / section_g / solution_dpm_ml   [L/kg fw]
# which is the Stem Concentration Factor the article itself defines and plots
# (its Fig. 4), so the reconstruction is checkable against the paper: see
# validation/briggs1983_shoot.py, which reproduces the stated Fig. 4 maximum.
#
# SELF-CHECK ON THE TRANSCRIPTION. All 32 (compound x time) rows sum to
# 100.0 +/- 0.1 % across the three sections. That caught two errors in the PDF's
# text layer, both confirmed against the rendered page: 4-chlorophenylurea 24 h
# Upper is 77.4 (not 17.4) and phenylurea 48 h Middle is 3.7 (not 3.1).
#
# READ THE CAVEATS BEFORE SCORING ANYTHING WITH THIS.
#  * BARLEY, not rice, and an 11-day-old seedling over 24-48 h, not a season.
#  * section_g are the article's TYPICAL weights applied to every test -- section
#    2.2 says some early phenylurea tests were not weighed at all. So the
#    absolute value carries a mass uncertainty the % distribution does not; the
#    log-ratio BETWEEN sections of one compound is the better-conditioned
#    quantity, and the leaf/stem ratio is what constrains the split.
#  * equilibrated = 0 marks 4-(4-bromophenoxy)phenylurea, which the article
#    itself excludes from its Fig. 4 (it reached constant values only in the
#    bases, and only after 48 h). Exclude it from any equilibrium comparison.
#  * metabolised = 1 marks aldicarb and 3-(methylthio)phenylurea, measured as
#    parent PLUS oxidation products; the article attributes their ~3x stem excess
#    to in-planta oxidation trapping a polar metabolite, not to partition.
#  * the article notes the stem BASE can run up to 2x the central section partly
#    from DIRECT CONTACT with the treating solution -- the same confound Li 2025
#    and Hwang 2017 carry. stem_central is the cleaner of the two.
#  * Briggs' "stem" is "not the true stem but is formed from the leaf bases and
#    developing new leaves" (section 2.2). It is a shoot base, not a rice culm.
#
# NOT WIRED INTO THE --obs HARNESS, deliberately, for the Hwang 2017 reason
# (docs 4c): tissue names here are sections of a 48-h barley seedling and the
# shared harness would run them against a 120-day RICE season. Use
# validation/briggs1983_shoot.py, which makes the right comparison.
compound,log_kow,tissue,value,basis,endpoint,hours,series,pct_of_shoot,total_dpm,solution_dpm_ml,section_g,equilibrated,metabolised,species,note
aldoxycarb,-0.57,leaf,1.99,fw,scf,24,oxime,91.0,7332,2794,1.2,1,0,barley,Briggs1983 Tab1 24h 91.0% of 7332 dpm / 1.2 g / 2794 dpm ml-1
aldoxycarb,-0.57,stem_central,0.2034,fw,scf,24,oxime,3.1,7332,2794,0.4,1,0,barley,Briggs1983 Tab1 24h 3.1% of 7332 dpm / 0.4 g / 2794 dpm ml-1
aldoxycarb,-0.57,stem_base,0.2867,fw,scf,24,oxime,5.9,7332,2794,0.54,1,0,barley,Briggs1983 Tab1 24h 5.9% of 7332 dpm / 0.54 g / 2794 dpm ml-1
aldoxycarb,-0.57,leaf,2.7647,fw,scf,48,oxime,91.2,10164,2794,1.2,1,0,barley,Briggs1983 Tab1 48h 91.2% of 10164 dpm / 1.2 g / 2794 dpm ml-1
aldoxycarb,-0.57,stem_central,0.2546,fw,scf,48,oxime,2.8,10164,2794,0.4,1,0,barley,Briggs1983 Tab1 48h 2.8% of 10164 dpm / 0.4 g / 2794 dpm ml-1
aldoxycarb,-0.57,stem_base,0.4042,fw,scf,48,oxime,6.0,10164,2794,0.54,1,0,barley,Briggs1983 Tab1 48h 6.0% of 10164 dpm / 0.54 g / 2794 dpm ml-1
oxamyl,-0.47,leaf,1.1017,fw,scf,24,oxime,90.1,3234,2204,1.2,1,0,barley,Briggs1983 Tab1 24h 90.1% of 3234 dpm / 1.2 g / 2204 dpm ml-1
oxamyl,-0.47,stem_central,0.1577,fw,scf,24,oxime,4.3,3234,2204,0.4,1,0,barley,Briggs1983 Tab1 24h 4.3% of 3234 dpm / 0.4 g / 2204 dpm ml-1
oxamyl,-0.47,stem_base,0.1495,fw,scf,24,oxime,5.5,3234,2204,0.54,1,0,barley,Briggs1983 Tab1 24h 5.5% of 3234 dpm / 0.54 g / 2204 dpm ml-1
oxamyl,-0.47,leaf,2.2177,fw,scf,48,oxime,89.7,6539,2204,1.2,1,0,barley,Briggs1983 Tab1 48h 89.7% of 6539 dpm / 1.2 g / 2204 dpm ml-1
oxamyl,-0.47,stem_central,0.4005,fw,scf,48,oxime,5.4,6539,2204,0.4,1,0,barley,Briggs1983 Tab1 48h 5.4% of 6539 dpm / 0.4 g / 2204 dpm ml-1
oxamyl,-0.47,stem_base,0.2692,fw,scf,48,oxime,4.9,6539,2204,0.54,1,0,barley,Briggs1983 Tab1 48h 4.9% of 6539 dpm / 0.54 g / 2204 dpm ml-1
aldicarb,1.08,leaf,4.7459,fw,scf,24,oxime,81.3,18059,2578,1.2,1,1,barley,Briggs1983 Tab1 24h 81.3% of 18059 dpm / 1.2 g / 2578 dpm ml-1
aldicarb,1.08,stem_central,1.7688,fw,scf,24,oxime,10.1,18059,2578,0.4,1,1,barley,Briggs1983 Tab1 24h 10.1% of 18059 dpm / 0.4 g / 2578 dpm ml-1
aldicarb,1.08,stem_base,1.1156,fw,scf,24,oxime,8.6,18059,2578,0.54,1,1,barley,Briggs1983 Tab1 24h 8.6% of 18059 dpm / 0.54 g / 2578 dpm ml-1
aldicarb,1.08,leaf,13.329,fw,scf,48,oxime,89.1,46279,2578,1.2,1,1,barley,Briggs1983 Tab1 48h 89.1% of 46279 dpm / 1.2 g / 2578 dpm ml-1
