# Li, Chiou, Li & Schnoor (2019), Environment International 126:46-53
# doi:10.1016/j.envint.2019.02.020  -- SI Table S2, "Data on chemical uptakes by
# plant roots from SOILS plotted in Figures 2-4".  All 376 rows, 13 crops.
# `exposure_d` is BLANK for the 20 Zhang et al. 2005 rows, whose duration the SI
# gives as "N/A (field)" -- they are a field survey, not a timed exposure.
#
# THE COMPANION TO neutral_obs_li2019_rcf.csv, AND IT DISAGREES WITH IT. Same
# paper, same authors, same fresh-weight convention -- but soil-grown instead of
# hydroponic, 12x larger, and the model's bias flips SIGN on it (S1 hydroponic:
# -0.43, model low; this table: +0.25, model high). That disagreement is the
# reason this file exists: it makes the "root partition is too low" reading a
# property of one exposure route rather than of the partition core.
#
# `value` is 10^(log RCF-water), Li et al.'s WATER-based root concentration
# factor -- the same endpoint as the hydroponic table, so the two are directly
# comparable. IMPORTANT: it is DERIVED, not measured. Li obtain it from the
# measured soil-based RCF by dividing the soil concentration by K_om, so it
# inherits whatever error is in K_om. That is not a footnote here: splitting the
# rows on where K_om came from (their Table S3) changes the answer --
#     K_om EXPERIMENTAL (n=62)   model bias +0.033   essentially unbiased
#     K_om from a QSPR  (n=253)  model bias +0.284
# so most of the apparent over-prediction is the soil-to-water conversion, not
# the plant model. `kom_source` carries that split; use it.
#
# PER-CROP LIPID, and the test it enables. `flip` is the root lipid fraction Li
# assign to each crop, fresh weight, on the same operational basis as the model's
# L (see neutral_obs_li2019_rcf.csv for the definition, verified at source).
# Substituting each crop's OWN lipid for the model's rice value collapses the
# mean bias from +0.250 to +0.005 (RMSE 0.644 -> 0.470). So the composition TERM
# is doing its job and the residual spread is not a failure of K_PW's form.
# Caveat: `flip` is Li's own model input, so this is a consistency check inside
# their framework, not an independent validation.
#
# alpha_pt IS NOT APPLIED, deliberately. Li's model writes
# RCF_water = alpha_pt * [f_pw + f_ch*K_ch + f_lip*K_lip] with a median alpha_pt
# of 0.098 here -- their equilibrium term is ~10x their measured RCF. This model
# has no alpha_pt and reaches the same measured values, because Briggs' exponent
# b = 0.77 is much flatter than Li's K_lip ~ Kow^1.03. The two frameworks split
# the same data differently; dividing by alpha_pt would be double-counting.
#
# EXPOSURE TIME is 7-360 d where reported, mostly >40 d, so unlike the hydroponic
# table these are not short-exposure measurements.
#
# NOT WIRED INTO --obs. These are 13 non-rice crops with a derived exposure; the
# shared harness would run them on the 120-day rice ODE and return a number that
# looks like the others but is not comparable. validation/li2019_soil_table.py
# scores them against the equilibrium K_PW, which is the right comparison.
#
compound,log_kow,tissue,value,basis,endpoint,species,f_lip,f_om,alpha_pt,exposure_d,kom_source,source_study
Penconazole,3.72,root,37.1535,fw,baf,Wheat,0.01100,0.00970,0.622,7,experimental,Jiang et al.  2016
Penconazole,3.72,root,45.7088,fw,baf,Wheat,0.01100,0.03260,0.778,7,experimental,Jiang et al.  2016
Penconazole,3.72,root,42.6580,fw,baf,Wheat,0.01100,0.05030,0.726,7,experimental,Jiang et al.  2016
Penconazole,3.72,root,29.5121,fw,baf,Wheat,0.01100,0.01590,0.502,7,experimental,Jiang et al.  2016
Penconazole,3.72,root,28.8403,fw,baf,Wheat,0.01100,0.02600,0.495,7,experimental,Jiang et al.  2016
Aldrin,5.66,root,42.6580,fw,baf,Carrot,0.00240,0.03600,0.038,93,experimental,Harris and Sans  1967
Aldrin,5.66,root,22.3872,fw,baf,Carrot,0.00240,0.66500,0.02,93,experimental,Harris and Sans  1967
Dieldrin,4.55,root,16.9824,fw,baf,Carrot,0.00240,0.01400,0.198,93,experimental,Harris and Sans  1967
Dieldrin,4.55,root,17.7828,fw,baf,Carrot,0.00240,0.03600,0.208,93,experimental,Harris and Sans  1967
Dieldrin,4.55,root,16.5959,fw,baf,Carrot,0.00240,0.66500,0.193,93,experimental,Harris and Sans  1967
Dieldrin,4.55,root,8.1283,fw,baf,Radish,0.00100,0.03600,0.222,35,experimental,Harris and Sans  1967
Dieldrin,4.55,root,8.3176,fw,baf,Radish,0.00100,0.66500,0.228,35,experimental,Harris and Sans  1967
Dieldrin,4.55,root,4.8978,fw,baf,Turnips,0.00100,0.03600,0.133,120,experimental,Harris and Sans  1967
Dieldrin,4.55,root,3.2359,fw,baf,Onions,0.00100,0.03600,0.089,83,experimental,Harris and Sans  1967
m-DCB  (1;3-DCB),3.44,root,10.0000,fw,baf,Spinach,0.00340,0.02820,0.963,,unmatched,Zhang et al.  2005
m-DCB  (1;3-DCB),3.44,root,6.7608,fw,baf,Spinach,0.00340,0.00780,0.655,,unmatched,Zhang et al.  2005
m-DCB  (1;3-DCB),3.44,root,2.8184,fw,baf,Carrot,0.00240,0.01410,0.363,,unmatched,Zhang et al.  2005
m-DCB  (1;3-DCB),3.44,root,1.2882,fw,baf,Carrot,0.00240,0.00780,0.166,,unmatched,Zhang et al.  2005
m-DCB  (1;3-DCB),3.44,root,1.5488,fw,baf,Radish,0.00090,0.02820,0.427,,unmatched,Zhang et al.  2005
