compound,tissue,baf,sigma,source
PFBA,root,0.6803,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFBA,straw,11.0348,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFBA,grain,1.0566,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFPeA,root,0.2699,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFPeA,straw,2.7375,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFPeA,grain,0.2639,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHxA,root,0.2784,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHxA,straw,1.1385,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHxA,grain,0.4161,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHpA,root,0.7805,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHpA,straw,1.0711,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFHpA,grain,0.4249,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOA,root,0.4866,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOA,straw,0.8333,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOA,grain,0.4634,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFNA,root,0.5685,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFNA,straw,0.6928,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFNA,grain,0.4135,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDA,root,4.1574,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDA,straw,3.4583,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDA,grain,3.3709,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFUnDA,root,19.5306,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFUnDA,straw,8.164,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFUnDA,grain,3.1341,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDoDA,root,69.282,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDoDA,straw,49.7494,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFDoDA,grain,45.5069,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFBS,root,2.2782,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFBS,straw,2.1837,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFBS,grain,0.2529,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOS,root,5.9326,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOS,straw,4.3452,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
PFOS,grain,1.9728,0.4,"Yamazaki2023 S16/S18/S19 geomean Indica+Japonica, fw-converted"
