# Tang 2026 (JHM 502:141017, doi:10.1016/j.jhazmat.2025.141017) Table S8 — transfer factor.
# Per-organ TF = C_organ / C_root (dry weight), Nipponbare paddy, full growth cycle (harvest).
# Organ names are Tang's; model mapping: stalk->stem, leaf->leaf, chaff+endosperm->grain/panicle
#   (endosperm = edible brown-rice analog). conc_ugg = soil exposure level. mean +/- SD, n=3.
# Directly constrains the root->shoot loading f_xy: PFOA/GenX translocate up (TF~1-2.5),
# PFOS less (TF~0.5-0.9) -> confirms the PFSA<PFCA head-group offset (CLAUDE.md task #8).
congener,organ,conc_ugg,TF_mean,TF_sd,source
PFOA,stalk,0.1,2.222,0.979,Tang2026_S8
PFOA,stalk,1,1.963,0.678,Tang2026_S8
PFOA,stalk,10,1.174,0.294,Tang2026_S8
PFOA,stalk,50,0.920,0.251,Tang2026_S8
PFOA,stalk,100,0.968,0.131,Tang2026_S8
PFOA,leaf,0.1,2.476,0.726,Tang2026_S8
PFOA,leaf,1,2.084,0.546,Tang2026_S8
PFOA,leaf,10,1.314,0.563,Tang2026_S8
PFOA,leaf,50,1.251,0.218,Tang2026_S8
PFOA,leaf,100,1.173,0.055,Tang2026_S8
PFOA,chaff,0.1,1.099,0.302,Tang2026_S8
PFOA,chaff,1,1.240,0.362,Tang2026_S8
PFOA,chaff,10,0.754,0.319,Tang2026_S8
PFOA,chaff,50,1.073,0.254,Tang2026_S8
PFOA,chaff,100,0.651,0.081,Tang2026_S8
PFOA,endosperm,0.1,1.371,0.126,Tang2026_S8
PFOA,endosperm,1,1.200,0.173,Tang2026_S8
PFOA,endosperm,10,0.793,0.171,Tang2026_S8
PFOA,endosperm,50,0.785,0.263,Tang2026_S8
PFOA,endosperm,100,0.613,0.121,Tang2026_S8
PFOS,stalk,0.1,0.571,0.145,Tang2026_S8
PFOS,stalk,1,0.560,0.137,Tang2026_S8
PFOS,stalk,10,0.553,0.140,Tang2026_S8
PFOS,stalk,50,0.672,0.239,Tang2026_S8
PFOS,stalk,100,0.565,0.123,Tang2026_S8
PFOS,leaf,0.1,0.684,0.158,Tang2026_S8
PFOS,leaf,1,0.678,0.157,Tang2026_S8
PFOS,leaf,10,0.786,0.141,Tang2026_S8
PFOS,leaf,50,0.677,0.196,Tang2026_S8
PFOS,leaf,100,0.574,0.121,Tang2026_S8
PFOS,chaff,0.1,0.652,0.104,Tang2026_S8
PFOS,chaff,1,0.499,0.051,Tang2026_S8
PFOS,chaff,10,0.664,0.158,Tang2026_S8
PFOS,chaff,50,0.778,0.236,Tang2026_S8
PFOS,chaff,100,0.605,0.109,Tang2026_S8
PFOS,endosperm,0.1,0.944,0.210,Tang2026_S8
PFOS,endosperm,1,0.780,0.188,Tang2026_S8
PFOS,endosperm,10,0.929,0.392,Tang2026_S8
PFOS,endosperm,50,0.702,0.272,Tang2026_S8
PFOS,endosperm,100,0.500,0.050,Tang2026_S8
GenX,stalk,0.1,0.915,0.018,Tang2026_S8
GenX,stalk,1,1.640,0.272,Tang2026_S8
GenX,stalk,10,0.667,0.180,Tang2026_S8
GenX,stalk,50,1.182,0.609,Tang2026_S8
GenX,stalk,100,1.118,0.322,Tang2026_S8
GenX,leaf,0.1,1.327,0.249,Tang2026_S8
GenX,leaf,1,1.732,0.347,Tang2026_S8
GenX,leaf,10,1.092,0.177,Tang2026_S8
GenX,leaf,50,1.473,0.577,Tang2026_S8
GenX,leaf,100,1.286,0.171,Tang2026_S8
GenX,chaff,0.1,1.175,0.369,Tang2026_S8
GenX,chaff,1,1.240,0.223,Tang2026_S8
GenX,chaff,10,0.654,0.064,Tang2026_S8
GenX,chaff,50,1.639,0.379,Tang2026_S8
GenX,chaff,100,1.625,0.032,Tang2026_S8
GenX,endosperm,0.1,1.619,0.607,Tang2026_S8
GenX,endosperm,1,2.060,0.471,Tang2026_S8
GenX,endosperm,10,0.863,0.058,Tang2026_S8
GenX,endosperm,50,1.099,0.328,Tang2026_S8
GenX,endosperm,100,1.302,0.271,Tang2026_S8
