Category 6 (Tier-0) - PFAS Physicochemical Constants,,,,,,,,,,
"pKa (justifies f_d=~1), membrane permeability P_d, aqueous diffusivity D_aq, and anion-partitioning notes. NOTE: log Kow is ill-defined for permanent anions - use log D or the C4 membrane/protein K values.",,,,,,,,,,
,,,,,,,,,,
my_symbol,property,PFAS species,value,units,method / conditions,study type,"source (author, year)",DOI / locator,DOI_status,notes / use in model
pKa,Acid dissociation constant (best estimate),PFOA (and long-chain PFCAs),~ -0.5 to ~1 (consensus); ESI-MS <=1; Kutsuna fit 1.3,-,analogy + COSMOtherm/SPARC; spectroscopy,modeling + experiment,"Goss, 2008 (ES&T); Cheng et al., 2009 (JPCA)",10.1021/es702192c; 10.1021/jp9051352,verified,JUSTIFIES f_d=~1. Goss: fate-modeling pKa of 2.8 is ~3 log units too high; true value near -0.5. Shorter PFCAs (TFA) slightly higher (~0.3) but still strong acids.
pKa,Acid dissociation (contested high value),PFOA,3.8 +/- 0.1 (monomeric); ~2.3 at high conc (aggregation),-,potentiometric titration in methanol-water,experiment,"Burns et al., 2008 (ES&T 42:9283-9288)",PMID 19174905,UNVERIFIED,"Methodologically DISPUTED (mixed-solvent extrapolation, aggregation). Included for transparency: even pKa 3.8 gives f_d=0.94-0.999 at paddy pH 5-7, so f_d=~1 holds regardless."
pKa,Acid dissociation (sulfonates),"PFSAs (PFOS, PFHxS, PFBS)",< 0 (strong sulfonic acids),-,analogy to sulfonic acids,modeling,"Torralba-Sanchez et al., 2023 (ET&C); general",10.1002/etc.5716,verified,PFSAs fully dissociated under all environmental conditions -> f_d=~1 trivially.
f_d,Fraction dissociated (anion) at paddy pH,PFCA / PFSA,">= 0.9999 for pKa<=1, pH 5-7; >=0.94 even for pKa=3.8",-,f_d = 1 / (1 + 10^(pKa - pH)),derived,(derived from pKa above),-,verified,Supports your assumption (A2/A3/A9): PFAS treated as PERMANENTLY dissociated anions. Robust across the pKa controversy AND across paddy porewater pH.
P_d,Membrane (bilayer) permeability,PFAAs + 4 alternatives,low for the anion (per-congener values in source Table 2 / SI),cm/s,model phospholipid membranes; circumneutral pH,in vitro,"Ebert, Allendorf, Berger, Goss, Ulrich, 2020 (ES&T 54:5051-5061)",10.1021/acs.est.0c00175,verified,DIRECT input to your GHK / diffusive root-uptake term. Low passive permeability of the anion is consistent with anion exclusion + the need for carrier/channel transport (see C5). Also reports K_MW (see C4).
K(anion) modeling,Anion vs neutral partitioning relationship,"CAs, PFCAs, PFSAs",log K_SW(anion) linearly related to log K_SW(neutral) via Born-Haber cycle,-,thermodynamic model,modeling,"Torralba-Sanchez et al., 2023 (ET&C 42:2317)",10.1002/etc.5716,verified,Use to estimate anion membrane/octanol partition where only neutral data exist. Confirms anion-dominant partitioning (consistent with f_d=~1).
D_aq,Aqueous diffusion coefficient,"PFCAs/PFSAs (perfluoro C3-C8; incl. PFOA, PFOS)",2.5e-5 (PFBA) to 0.45e-5 (PFHxS),cm^2/s,"capillary method, room T",experiment,"Measurement of Aqueous Diffusivities for PFAAs, 2019",(ES&T-class; DOI not confirmed),UNVERIFIED,Input for diffusion/dispersion in xylem and soil porewater. Wilke-Chang does NOT capture the trend (non-uniform vs molar volume) - use measured values.
D_eff (soil),Effective diffusion in soil (pore + surface),"6 PFAAs incl. PFOA, PFOS",pore/surface-D ratio 13 (PFHxS) to 0.88 (PFOS),-,saturated silty-clay column; bromide tortuosity,experiment + modeling,"Diffusion of PFAAs through clay-rich soil, 2021",PII S016977222100053X,UNVERIFIED,For your HYDRUS soil diffusion term: pure pore-diffusion UNDER-predicts long-chain (PFOS) transport - add a surface-diffusion-like process.
(log Kow caveat),Octanol-water partition - CAUTION,all PFAS,ill-defined for permanent anions; literature values method-dependent,-,-,note,"Torralba-Sanchez et al., 2023; Goss 2008",10.1002/etc.5716,verified,Do NOT plug literature 'log Kow' into neutral-compound QSARs. Use log D (pH-corrected) or the measured membrane/protein K from the C4 tab.
(distribution model),Equilibrium tissue-distribution framework,PFAAs + 4 alternatives,combines K_MW + K_prot to predict organ distribution,-,model vs human/rat data,modeling,"Allendorf, Goss, Ulrich, 2021 (ET&C 40:910-920)",10.1002/etc.4954,verified,"Mammalian, but the equilibrium-partition framework transfers directly to your B_k-based tissue distribution (a useful template)."
,,,,,,,,,,
C6 - Top sources (ranked),,,,,,,,,,
rank,"source (author, year)",journal / locator,what it gives,DOI / locator,DOI_status,,,,,
1,"Goss, 2008",Environ. Sci. Technol. 42(2):456-458,PFOA pKa ~ -0.5; the key reference justifying f_d=~1.,10.1021/es702192c,verified,,,,,
2,"Ebert et al., 2020",Environ. Sci. Technol. 54(8):5051-5061,Membrane permeability P_d (+ K_MW) for PFAAs & alternatives - direct GHK input.,10.1021/acs.est.0c00175,verified,,,,,
3,"Cheng et al., 2009",J. Phys. Chem. A 113(29):8152-8156,Spectroscopic PFOA pKa ~ 0 (independent confirmation).,10.1021/jp9051352,verified,,,,,
4,"Torralba-Sanchez et al., 2023",Environ. Toxicol. Chem. 42(11):2317,Anion-vs-neutral partitioning model (Born-Haber); log D approach for PFAS.,10.1002/etc.5716,verified,,,,,
5,"Aqueous diffusivities of PFAAs, 2019",ES&T-class (capillary method),Measured D_aq: 2.5e-5 (PFBA) to 0.45e-5 cm^2/s (PFHxS).,DOI not confirmed,UNVERIFIED,,,,,
6,"Allendorf, Goss, Ulrich, 2021",Environ. Toxicol. Chem. 40(3):910-920,Equilibrium tissue-distribution framework (K_MW + K_prot) - model template.,10.1002/etc.4954,verified,,,,,
7,"Burns et al., 2008",Environ. Sci. Technol. 42:9283-9288,Contested PFOA pKa 3.8 (for transparency on the controversy).,PMID 19174905,UNVERIFIED,,,,,
,,,,,,,,,,
C6 - Gaps & notes,,,,,,,,,,
parameter <-> symbol,status,best surrogate,recommended action,priority,,,,,,
pKa / f_d,SETTLED - not a gap,n/a,"Adopt pKa ~0-1 (PFCA), <0 (PFSA) -> f_d=~1; cite Goss 2008. No further work needed.",done,,,,,,
P_d for full C4-C14 in PLANT (rice) membranes,Partial - Ebert 2020 gives model-membrane P_d; rice-specific absent,Ebert 2020 liposome P_d,Use Ebert 2020 P_d as surrogate; sensitivity-test the GHK/diffusive term across its range,MEDIUM,,,,,,
D_aq for long-chain C9-C14,Partial - measured set is perfluoro C3-C8,Measured C3-C8 trend (do NOT use Wilke-Chang),Estimate from the measured trend or measure; note molar-volume relationship is non-uniform,LOW,,,,,,
Henry's law / volatility,Negligible for anions,n/a,"Ignore volatilization for submerged paddy (anion, non-volatile).",done,,,,,,
