Overall Ranked Shortlist - 15 most useful sources across all categories,,,,,,,
"Ranked by usefulness to your paddy-rice IOC model and data quality, balanced across C1-C6. Per-category shortlists remain inside each category tab. UNVERIFIED DOIs need confirmation before citing.",,,,,,,
rank,"source (author, year)",journal / locator,category,model term it anchors,why it is in the top 15,DOI / locator,DOI_status
1,"Kim, Ekpe, Lee, Kim & Oh, 2019",Sci. Total Environ. 671:714-721,C1,"C_soil, C_porewater, C_grain; f_xy",Best system match: paired soil + void(pore)water + brown rice for 17 PFAS across 30 KOREAN paddy fields. The primary calibration anchor.,10.1016/j.scitotenv.2019.03.240,verified
2,"Higgins & Luthy, 2006",Environ. Sci. Technol. 40:7251-7256,C3,"Koc(nC), head-group offset","Foundational sorption QSPR: +0.50-0.60 log/CF2, +0.23 for sulfonate, OC dominance, Ca2+/pH effects. Backbone of the soil sub-model.",10.1021/es061000n,verified
3,"Chen et al., 2025",Environ. Sci. Technol. (acs.est.4c06734),C4,"K_PL, K_prot (per-CF2)","K_MW + K_PW for 60 PFAS; per-CF2 slopes (+0.36 PFCA, +0.37 PFSA) and HSA optimum C6-C10. Best single binding source.",10.1021/acs.est.4c06734,verified
4,"Zhang, Sun et al., 2019",Sci. Total Environ. 654:19-27,C5,"V_max, K_m (carrier)",Michaelis-Menten active uptake + channel-inhibitor dissection; U-shaped root-BAF. Mechanistic core for the carrier term.,10.1016/j.scitotenv.2018.10.443,verified
5,"China staple-crop farmlands mapping, 2025",Environ. Sci. Technol. (acs.est.5c11221),C1,paired BAF (rice incl.),"First nationwide paired soil-grain set (n=160, rice/wheat/maize, 11 provinces). Background-level BAF reference.",10.1021/acs.est.5c11221,verified
6,"Goss, 2008",Environ. Sci. Technol. 42:456-458,C6,pKa -> f_d (A2/A3/A9),PFOA pKa ~ -0.5; the key reference justifying the permanently-anionic (f_d=~1) assumption.,10.1021/es702192c,verified
7,"Ebert, Allendorf et al., 2020",Environ. Sci. Technol. 54:5051-5061,C6 / C4,"P_d, K_MW (GHK input)",Membrane permeability P_d (+ K_MW) for PFAAs & alternatives - direct input to the GHK/diffusive root term.,10.1021/acs.est.0c00175,verified
8,"Milinovic, Lacorte, Vidal & Rigol, 2015",Sci. Total Environ. 511:63-71,C3,Koc anchors (PFOS/PFOA/PFBS),"Clean Koc values (710 / 96 / 17 mL/g), OC correlation, and reversibility/hysteresis behaviour.",10.1016/j.scitotenv.2014.12.017,verified
9,"Zhou, Liu et al., 2025",Ecotox. Environ. Saf. 291:117902,C4,K_prot (PLANT) -> B_grain,PFAA binding to PLANT proteins (soy protein isolate = storage-protein/grain analog) vs animal albumin; QSAR. Most relevant to plant B_k.,10.1016/j.ecoenv.2025.117902,verified
10,"Liu, Lu, Song et al., 2019",Environ. Int. 127:671-684,C1,grain-BAF chain-length slope; f_xy,Log-linear BAF decrease with chain length and quantified short-chain uptake bias across 13 crops on a contamination gradient.,10.1016/j.envint.2019.04.008,verified
11,ORYZA2000 (Bouman et al. 2001; Bouman & van Laar 2006),Agric. Syst. 87:249-273 / IRRI book,C2,"M_k(t), partitioning, LAI, transpiration","The forcing-function GENERATOR: DVS-based biomass partitioning, LAI growth, dry-matter distribution, daily transpiration for M_k(t) and Q_TP(t).",Agric. Syst. 87:249-273 (DOI not confirmed),UNVERIFIED
12,"Fabregat-Palau, Vidal & Rigol, 2021",Sci. Total Environ. 801:149343,C3,"K_F / Koc QSPR (chain, head-group)",Predictive sorption model for PFCAs & PFSAs vs chain length and functional group - directly parameterizes the soil sub-model.,10.1016/j.scitotenv.2021.149343,verified
13,"PFAS hyperaccumulator O. rosea, 2025",Nat. Commun. (s41467-025-65191-3),C4,K_cw (cell-wall binding),Identifies root cell-wall PECTIN & HEMICELLULOSE as the PFAS binding sites controlling root-to-shoot translocation (B_1 / K_cw).,10.1038/s41467-025-65191-3,verified
14,"Wang, Glass et al., 1994",Plant Physiol. 104(3):899,C5,E_m (GHK exclusion),RICE root membrane potential (-116 to -140 mV) - direct input to the Nernst/GHK anion-exclusion term. Rare rice-specific E_m.,DOI 10.1104/pp.104.3.899 (verify),UNVERIFIED
15,"FAO-56 (Allen, Pereira, Raes, Smith, 1998)",FAO Irrig. & Drainage Paper 56,C2,"Kc, ET0 -> Q_TP",Rice crop coefficients (1.05 / 1.20 / 0.90-0.60) and Penman-Monteith ET0 to drive the transpiration stream Q_TP(t).,FAO I&D Paper 56 (report),UNVERIFIED
