t,Cwo,Qtp,M_root,M_stem,M_leaf,M_grain
0.0000,2.091680,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
1.0000,2.079854,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
2.0000,2.068102,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
3.0000,2.056424,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
4.0000,2.044819,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
5.0000,2.033286,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
6.0000,2.021826,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
7.0000,2.010437,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
8.0000,1.999119,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
9.0000,1.987871,0.005210,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04
10.0000,1.976694,0.005210,1.007292e-04,1.000000e-04,1.000000e-04,1.000000e-04
11.0000,1.965586,0.005210,1.144521e-04,1.000000e-04,1.000000e-04,1.000000e-04
12.0000,1.954547,0.005210,1.291520e-04,1.000000e-04,1.000000e-04,1.000000e-04
13.0000,1.943577,0.005210,1.448819e-04,1.000000e-04,1.000000e-04,1.000000e-04
14.0000,1.932676,0.005210,1.616952e-04,1.021545e-04,1.022516e-04,1.000000e-04
15.0000,1.921842,0.005210,1.796451e-04,1.181687e-04,1.174903e-04,1.000000e-04
16.0000,1.911075,0.005210,1.987838e-04,1.362611e-04,1.345582e-04,1.000000e-04
17.0000,1.900375,0.005210,2.191621e-04,1.566905e-04,1.536648e-04,1.000000e-04
18.0000,1.889741,0.005210,2.408279e-04,1.797464e-04,1.750422e-04,1.000000e-04
19.0000,1.879173,0.005210,2.638257e-04,2.057526e-04,1.989472e-04,1.000000e-04
20.0000,1.868671,0.005210,2.881952e-04,2.350706e-04,2.256640e-04,1.000000e-04
21.0000,1.858234,0.007004,3.139695e-04,2.681039e-04,2.555069e-04,1.000000e-04
22.0000,1.847861,0.010016,3.411738e-04,3.053022e-04,2.888226e-04,1.000000e-04
23.0000,1.837553,0.013054,3.698231e-04,3.471663e-04,3.259935e-04,1.000000e-04
24.0000,1.827308,0.016119,3.999204e-04,3.942535e-04,3.674406e-04,1.000000e-04
25.0000,1.817126,0.019210,4.314535e-04,4.471824e-04,4.136273e-04,1.000000e-04
26.0000,1.807008,0.022328,4.643926e-04,5.066397e-04,4.650620e-04,1.000000e-04
27.0000,1.796951,0.025473,4.986867e-04,5.733856e-04,5.223023e-04,1.000000e-04
28.0000,1.786957,0.028644,5.342599e-04,6.482611e-04,5.859584e-04,1.000000e-04
29.0000,1.777024,0.031841,5.710077e-04,7.321942e-04,6.566968e-04,1.000000e-04
30.0000,1.767153,0.035066,6.087917e-04,8.262074e-04,7.352434e-04,1.000000e-04
31.0000,1.757342,0.038316,6.474351e-04,9.314243e-04,8.223879e-04,1.000000e-04
32.0000,1.747592,0.041594,6.867171e-04,1.049077e-03,9.189860e-04,1.000000e-04
33.0000,1.737901,0.044898,7.276541e-04,1.178034e-03,1.027155e-03,1.000000e-04
34.0000,1.728270,0.048228,7.711064e-04,1.317420e-03,1.149048e-03,1.000000e-04
35.0000,1.718699,0.051585,8.171413e-04,1.467859e-03,1.286249e-03,1.000000e-04
36.0000,1.709186,0.054969,8.658121e-04,1.629976e-03,1.440493e-03,1.000000e-04
37.0000,1.699731,0.058379,9.171560e-04,1.804384e-03,1.613671e-03,1.000000e-04
