pfas,n_C,group,B_root,B_stem,B_leaf,B_grain,theta_root,theta_stem,theta_leaf,theta_grain
PFBA,4,CA,1.179,1.296,1.413,1.179,0.9,0.83,0.78,0.14
PFPeA,5,CA,1.315,1.44,1.654,1.484,0.9,0.83,0.78,0.14
PFHxA,6,CA,1.603,1.682,2.127,2.061,0.9,0.83,0.78,0.14
PFHpA,7,CA,2.322,2.193,3.211,3.176,0.9,0.83,0.78,0.14
PFOA,8,CA,4.174,3.353,5.965,6.24,0.9,0.83,0.78,0.14
PFNA,9,CA,9.864,6.747,14.423,16.251,0.9,0.83,0.78,0.14
PFDA,10,CA,24.279,15.134,35.716,41.363,0.9,0.83,0.78,0.14
PFUnDA,11,CA,49.148,29.483,72.291,83.997,0.9,0.83,0.78,0.14
PFDoDA,12,CA,100.988,59.174,148.443,172.989,0.9,0.83,0.78,0.14
PFBS,4,SA,2.411,2.721,3.736,4.644,0.9,0.83,0.78,0.14
PFHxS,6,SA,8.529,6.516,12.936,15.405,0.9,0.83,0.78,0.14
PFOS,8,SA,49.447,30.119,73.101,84.991,0.9,0.83,0.78,0.14
